id,password,is_superuser,username,is_staff,is_active,user_type,first_name,last_name,nick_name
901,pbkdf2_sha256$390000$hpwrNnIUu0wnhFayN576dC$nKOM+cqeklYn6AlJRQauMHPhpAsJz9pevNl3zClsQeg=,FALSE,G1,FALSE,TRUE,oc,G1,G1,
902,pbkdf2_sha256$390000$Q64jv4mxpuotZvxD2ER5sV$lbX3MPTqp7hvq5d5PyjB30GJMGYfMEHpWzDjWMwCdrg=,FALSE,G2,FALSE,TRUE,oc,G2,G2,
903,pbkdf2_sha256$390000$lHesj9pBO0lh2kErKpnGhu$syvql4/ZqZpKjNpDM7jVwUPaZQDaPWVRz33CBPsOEPM=,FALSE,G3,FALSE,TRUE,oc,G3,G3,
904,pbkdf2_sha256$390000$kBolhJyoNDegkpnt2Z3M8V$bCbswGXOMTQOAcLMM7wJQAukW9vga2Edtlq9uFxWaYc=,FALSE,G4,FALSE,TRUE,oc,G4,G4,
905,pbkdf2_sha256$390000$SeN8P0Zlpg9szZVFl6n9La$yBFxnUFnFqJSG7KoKuDgIIC3PuNvR6qn5tRuN9SVOM0=,FALSE,G5,FALSE,TRUE,oc,G5,G5,
906,pbkdf2_sha256$390000$MP7d1OGiRy1He4uctUnOOq$Z5rBUHs8rXSjxUmjTSW1dSORAnLEVS1YXXo4RCP3JJ0=,FALSE,G6,FALSE,TRUE,oc,G6,G6,
907,pbkdf2_sha256$390000$jLmA6r1XZjLCplARvxl4hw$YIGinvsEqwj8QCVO4/6NUca9Z0IQhREjzE4JrIZJT/A=,FALSE,G7,FALSE,TRUE,oc,G7,G7,
908,pbkdf2_sha256$390000$BOfg32rqGtjTs4EWBJw9ty$RP02VkB+ZZqo/RIcNlMkWXCe61cB0L5tH67CH13J4vM=,FALSE,G8,FALSE,TRUE,oc,G8,G8,
909,pbkdf2_sha256$390000$u3Kc99dTckLPIw7b4u0UoS$qoSv77eY9LO7k1pMDTsQUJwU4wLvzlcr2tY+QbvRcCc=,FALSE,S1,FALSE,TRUE,oc,S1,S1,
910,pbkdf2_sha256$390000$3LQsIyHQwsrksJICyS4q0I$rLpysi2M1fqzpIxUJvtciEL0peZF7YeLvIapHxtZ7ws=,FALSE,S2,FALSE,TRUE,oc,S2,S2,
911,pbkdf2_sha256$390000$2LRG8NjcZZp0foWxT2CLnI$dW8yTxpsUDTKRNXw5QnAL2fYmsmvJEn9eqDG74ixAE8=,FALSE,W1,FALSE,TRUE,oc,W1,W1,
912,pbkdf2_sha256$390000$afB2NlOzlnJa8ues4n7Uz3$aJ1OgVz1gfta/VEO9vc48Kcyk9sLIbrb7pRqU7ypgPQ=,FALSE,W2,FALSE,TRUE,oc,W2,W2,
913,pbkdf2_sha256$390000$3HxjkQ9agATUMrVYznlwB5$a/3pB2g36wMmE+PsSXeNrHT4QcuG2RTdWps6gQPoFmo=,FALSE,W3,TRUE,TRUE,oc,W3,W3,
914,pbkdf2_sha256$390000$j9G952iVzttwUQ0uoNDZFW$cr7k+jmz/gFdGSYdv43zrxLiMWwEGOTH/5BUnc7FaDs=,FALSE,W4,FALSE,TRUE,oc,W4,W4,
915,pbkdf2_sha256$390000$tISCrWP6ACR1c7lsRDz6YZ$mbFPcgI27kLbUofwVozypGmi7ccb4JW0gPrlCRbEo4A=,FALSE,W5,FALSE,TRUE,oc,W5,W5,
916,pbkdf2_sha256$390000$TGsUpUA7UN5EeMZfJIcIYb$N+fo6Brgt1dxBwRPH9GA+1yBNNNi+5ofM9qArHqpXnE=,FALSE,W6,FALSE,TRUE,oc,W6,W6,
